id,name,type,start_date_local,distance_km,moving_time_minutes,average_speed_kmh,max_speed_kmh,total_elevation_gain,average_heartrate,max_heartrate,kudos_count,year,month,day_of_week,hour
10386561004,Morning Ride,Ride,2023-12-16 07:40:10+00:00,0.5053,28.866666666666667,1.0512,4.9824,0.0,126.6,141.0,1,2023,12,Saturday,7
10459100887,Morning Ride,Ride,2023-12-30 06:53:23+00:00,0.4234,25.216666666666665,1.0080000000000002,3.4055999999999997,1.0,129.7,152.0,0,2023,12,Saturday,6
10502016383,Morning Ride,Ride,2024-01-06 08:00:22+00:00,0.3018,15.683333333333334,1.1556,2.7072000000000003,0.0,128.5,150.0,0,2024,1,Saturday,8
11874130792,Morning Ride,Ride,2024-01-27 09:13:00+00:00,0.1692,3.433333333333333,2.9592,1.5048,2.0,113.9,145.0,0,2024,1,Saturday,9
11874136454,Morning Ride,Ride,2024-03-02 08:10:43+00:00,0.19140000000000001,4.816666666666666,2.3832,1.548,0.0,129.0,143.0,0,2024,3,Saturday,8
11874147643,Morning Ride,Ride,2024-07-13 06:40:12+00:00,23.171400000000002,109.8,12.6612,26.128800000000002,119.0,132.7,166.0,1,2024,7,Saturday,6
11940016993,Morning Ride,Ride,2024-07-21 06:49:30+00:00,26.9967,117.48333333333333,13.788,35.5608,177.0,130.8,167.0,1,2024,7,Sunday,6
12047985131,Morning Ride,Ride,2024-08-03 06:40:53+00:00,27.3936,116.73333333333333,14.079600000000001,33.2784,184.0,136.1,164.0,2,2024,8,Saturday,6
12107333931,Morning Ride,Ride,2024-08-10 06:47:09+00:00,27.0961,114.13333333333334,14.2452,35.416799999999995,193.0,133.2,168.0,0,2024,8,Saturday,6
12175372406,Napak tilas jaman sd,Ride,2024-08-18 06:45:49+00:00,29.986,148.01666666666668,12.153599999999999,27.172800000000002,161.0,128.8,162.0,1,2024,8,Sunday,6
12226212813,Morning Ride,Ride,2024-08-24 06:35:13+00:00,33.7422,154.48333333333332,13.104000000000001,34.272,262.0,130.4,166.0,1,2024,8,Saturday,6
12412330568,Morning Ride,Ride,2024-09-15 07:13:40+00:00,25.341900000000003,110.2,13.798800000000002,27.979200000000002,173.0,126.8,163.0,1,2024,9,Sunday,7
12463078268,Morning Ride,Ride,2024-09-21 06:30:14+00:00,34.101,165.31666666666666,12.376800000000001,35.2008,308.0,133.8,167.0,1,2024,9,Saturday,6
12528193934,Morning Ride,Ride,2024-09-29 06:39:03+00:00,20.8036,103.03333333333333,12.114,28.4832,101.0,123.8,167.0,0,2024,9,Sunday,6
12585947562,Morning Ride,Ride,2024-10-06 06:30:25+00:00,32.7145,142.85,13.741200000000001,32.7888,141.0,133.1,171.0,0,2024,10,Sunday,6
12697074479,Morning Ride,Ride,2024-10-20 06:21:05+00:00,27.143900000000002,119.65,13.611600000000001,32.8752,213.0,136.1,170.0,0,2024,10,Sunday,6
12801294733,Morning Ride,Ride,2024-11-02 06:16:06+00:00,40.3461,187.98333333333332,12.8772,47.664,314.0,142.5,176.0,0,2024,11,Saturday,6
1280995953,Morning Ride,Ride,2017-11-19 05:51:04+00:00,5.3038,18.45,17.247600000000002,30.6,35.6,0.0,0.0,0,2017,11,Sunday,5
1283950846,Morning Run,Run,2017-11-21 07:20:12+00:00,0.3927,2.8,8.4168,15.48,2.1,0.0,0.0,0,2017,11,Tuesday,7
12856367239,Morning Ride,Ride,2024-11-09 06:33:02+00:00,36.234300000000005,166.76666666666668,13.0356,35.424,290.0,134.0,178.0,0,2024,11,Saturday,6
12918261761,Morning Ride,Ride,2024-11-17 06:44:07+00:00,39.9005,165.11666666666667,14.500799999999998,33.336,236.0,135.4,165.0,0,2024,11,Sunday,6
12969294786,Morning Ride,Ride,2024-11-24 06:22:20+00:00,31.3759,153.91666666666666,12.229199999999999,30.6,260.0,130.2,166.0,1,2024,11,Sunday,6
13235629467,Morning Ride,Ride,2025-01-01 06:38:25+00:00,23.811700000000002,102.91666666666667,13.8816,36.072,192.0,130.0,171.0,1,2025,1,Wednesday,6
13269022143,Morning Ride,Ride,2025-01-05 07:13:29+00:00,23.3935,101.51666666666667,13.8276,39.672,196.0,141.2,178.0,2,2025,1,Sunday,7
13392812885,Morning Ride,Ride,2025-01-19 06:18:05+00:00,36.2031,153.68333333333334,14.133600000000001,48.312,255.0,134.7,177.0,1,2025,1,Sunday,6
13453557996,Morning Ride,Ride,2025-01-26 06:36:53+00:00,33.078300000000006,131.9,15.048,40.464,99.0,144.1,181.0,0,2025,1,Sunday,6
